#,Brand,Model,Year Start,Year End,BR,Sub Model,Doors,Seats,X,First Sample Container,Fitting Confirm
180,NISSAN,X-TRAIL,2014,2022,,N2,4,5,X1078,Container # 115?,Confirmed
181,CHEVROLET,BLAZER,2020,2024,,N1,4,5,X1649,Container #113,Pending
182,TOYOTA,LAND CRUISER,2022,2025,,N3,4,7,X1878,Container #113,Confirmed
183,MITSUBISHI,XPANDER,2021,2024,,,4,7,X1706,Container #113,Confirmed
184,LEXUS,RX330,2003,2008,,N1,4,5,X0776,Container #115,Confirmed
185,FORD,EDGE,2006,2015,,,4,5,X0637,Container #126,Pending
186,HONDA ,ZR-V,2023,2024,,N1,4,5,X2064,Container #119,Confirmed
187,CHEVROLET,TRAVERSE,2025,2026,,N1,4,7,X3066,Container #126,Pending
188,HYUNDAI,ACCENT,2024,2025,,N2,4,5,X2042,Container #123,Confirmed
189,GMC ,TERRAIN ,2018,2023,,N2,4,5,X1545,Container #126,Confirmed
190,HYUNDAI,CRETA,2015,2019,,N1,4,5,X1167,Container #125,Confirmed
191,JETOUR,T2,2026,2026,,,4,5,X3011/X3023,Container #126,Confirmed
192,GMC,SIERRA 2D,2015,2020,,N1,2,3,X1204,Container #133,Pending
193,LEXUS,LX500,2022,2024,BR2,N1,4,7,X1827,Container #133,Confirmed
194,TOYOTA,RAV4 ,2026,2026,BR2 ,,4,5,,Container #133,Confirmed
195,FORD,TERRITORY,2025,2026,,,4,5,,Container #133,Confirmed
196,HYUNDAI,STARGAZER,2025,2026,BR2,,4,7,X3111,Container #133,Pending
197,MAZDA,3,2025,2026,,,4,5,,Container #133,Confirmed
198,MAZDA,CX-60,2025,2026,,,4,5,,Container #133,Pending
199,NISSAN,ALTIMA,2013,2018,BR2 ,,4,5,,Container #133,Confirmed
200,FORD,EXPEDITION,2025,2026,,,4,7,,Container #143,Pending
201,LEXUS,570,2016,2021,,,4,7,X1233,,Sampling
202,TOYOTA,COROLLA,2014,2017,BR1,N5,4,5,X1337,,Sampling
203,HYUNDAI,CRETA,2016,2019,BR1,N2,4,5,X1168,,Sampling
204,HYUNDAI,ACCENT,2024,2025,,N5,4,5,,,Sampling
205,SUZUKI,SWIFT ,2011,2014,BR1,N2,4,5,X0885,,Sampling
206,SUZUKI,SWIFT ,2014,2017,BR2,N2,4,5,X1577,,Sampling
207,SUZUKI,SWIFT ,2018,2026,BR1,N1,4,5,X1455,,Sampling
208,SUZUKI,SWIFT ,2018,2026,BR2,N2,4,5,X1456,,Sampling
209,RENAULT,DUSTER,2012,2013,BR1,N2,4,5,X1113,,Sampling
210,DODGE,CHARGER,2012,2013,BR2,N1,,5,X-1112,,Sampling
211,HYUNDAI,i10 GRAND NIOS,2019,2022,BR1,N1,4,5,X-1848,,Sampling
212,KIA,SORRENTO,2010,2014,,N1,4,7,X-0596,,Sampling
213,KIA ,SORRENTO,2015,2018,,N1,4,7,X-1008,,Sampling
214,TOYOTA,LAND CRUISER HT76,1990,2021,,N11,4,5,X-1393,,Sampling
215,TOYOTA,CROWN,2023,2026,,,,5,,,Sampling
216,MITSUBISHI,L-200,2025,2026,,,,,,,Sampling
217,KIA,SONET,2020,2026,,,,,,,Sampling
218,GWM,HAVAL H9,2025,2027,,,,,,,Sampling
